digikey part num,order qty,qty used,ref des,value,footprint
497-15994-1-ND,1,1,U6,VN7140,SO08
568-8678-1-ND,1,1,U3,tja1042,SO-8-L
MCP1703T-5002E/CBCT-ND,1,1,U2,5v,SOT-23A
1727-2160-1-ND,1,1,Q1,0.1A,SOT-23-3
296-36844-1-ND,1,1,U4,3.3v,SOT-23-5
P120DBCT-ND,1,1,R1,120,0603
497-11153-ND,1,1,U1,stm32f205,lqfp-64
490-10731-1-ND,5,4,"C9, C10, C12, C18",2.2uF,0603
1276-1900-1-ND,3,2,"C8, C15",4.7uF,0603
887-1667-1-ND,1,1,Y1,8MHz,smd-2
1276-1012-1-ND,10,8,"C3, C4, C5, C6, C7, C13, C16, C17",100nF,0603
311-22GRCT-ND,10,2,"R3, R4",22,0603
1276-1817-1-ND,3,2,"C1, C2",8pF,0603
311-1.0KGRCT-ND,10,2,"R7, R18",1k,0603
311-10KGRCT-ND,10,2,"R5, R8",10k,0603
